Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,AvgMonthlyCharge,DayMinsPerCall,DataUsagePerWeek,HighValueCustomer,HighDayMinutes,HighDataUser,HighServiceCalls,HasOverageFee,RoamingUser,TenureGroupNumeric,TenureCycleSin,TenureCycleCos,DataPlan_DataUsage,HighServiceCalls_ContractRenewal,MonthlyCharge_AccountWeeks,OverageFee_DataUsage
0,128.0,1,1,2.7,1.0,265.1,110.0,89.0,9.87,10.0,3.010703125,2.3882882882882885,0.020930232558139535,1,1,1,0,1,1,4,0.23931566428755768,-0.970941817426052,2.7,0.0,11392.0,26.649
0,107.0,1,1,3.7,1.0,161.6,123.0,82.0,9.78,13.7,3.318317757009346,1.303225806451613,0.03425925925925926,1,0,1,0,1,1,4,0.3546048870425356,0.9350162426854148,3.7,0.0,8774.0,36.186
0,137.0,1,0,0.0,0.0,243.4,114.0,52.0,6.06,12.2,1.6435036496350364,2.1165217391304347,0.0,0,1,0,0,1,1,4,-0.7485107481711011,-0.6631226582407952,0.0,0.0,7124.0,0.0
0,84.0,0,0,0.0,2.0,299.4,71.0,57.0,3.170000000000001,6.6,2.938214285714286,3.5503839684048852,0.0,0,1,0,0,1,1,3,-0.663122658240795,-0.7485107481711013,0.0,0.0,4788.0,0.0
0,75.0,0,0,0.0,3.0,166.7,113.0,41.0,7.42,10.1,2.3670666666666667,1.462280701754386,0.0,0,0,0,0,1,1,3,0.35460488704253584,-0.9350162426854147,0.0,0.0,3075.0,0.0
0,118.0,0,0,0.0,0.0,223.4,98.0,57.0,11.03,6.3,2.0916101694915255,2.2565656565656567,0.0,0,1,0,0,1,1,4,0.992708874098054,-0.12053668025532288,0.0,0.0,6726.0,0.0
0,121.0,1,1,2.03,3.0,218.2,88.0,87.3,16.93,7.5,3.1240413223140493,2.451685393258427,0.016639344262295082,1,1,1,0,1,1,4,0.8854560256532099,-0.4647231720437685,2.03,0.0,10563.3,35.3829
0,147.0,0,0,0.0,0.0,157.0,79.0,36.0,5.16,7.1,1.0604081632653062,1.9625,0.0,0,0,0,0,1,1,4,-0.8854560256532101,0.464723172043768,0.0,0.0,5292.0,0.0
0,117.0,1,0,0.19,1.0,184.5,97.0,63.9,16.93,8.7,2.3648461538461536,1.8826530612244898,0.0016101694915254237,0,0,0,0,1,1,4,1.0,-1.6081226496766366e-16,0.0,0.0,7476.3,3.3402
0,141.0,0,1,3.02,0.0,258.6,84.0,93.2,11.1,11.2,2.862099290780142,3.0423529411764707,0.021267605633802818,1,1,1,0,1,1,4,-0.970941817426052,-0.23931566428755774,3.02,0.0,12774.0,33.522
1,65.0,1,0,0.29,3.5,129.1,137.0,44.9,11.43,12.7,2.991030769230769,0.9355072463768116,0.004393939393939394,0,0,0,1,1,1,3,1.0,-1.6081226496766366e-16,0.0,0.0,2918.5,3.3146999999999998
0,74.0,1,0,0.34,0.0,187.7,127.0,49.4,8.17,9.1,2.8905675675675675,1.46640625,0.004533333333333334,0,0,0,0,1,1,3,0.46472317204376906,-0.8854560256532096,0.0,0.0,3655.6,2.7778
0,168.0,1,0,0.0,1.0,128.8,96.0,31.0,5.25,11.2,0.7989880952380953,1.327835051546392,0.0,0,0,0,0,1,1,5,0.992708874098054,0.120536680255323,0.0,0.0,5208.0,0.0
0,95.0,1,0,0.44,3.0,156.6,88.0,52.4,12.38,12.3,2.388336842105263,1.7595505617977527,0.004583333333333333,0,0,0,0,1,1,3,-0.8854560256532101,0.464723172043768,0.0,0.0,4978.0,5.4472000000000005
0,62.0,1,0,0.0,3.5,120.7,70.0,47.0,15.36,13.1,3.28241935483871,1.7,0.0,0,0,0,1,1,1,3,0.9350162426854148,0.35460488704253557,0.0,0.0,2914.0,0.0
1,161.0,1,0,0.0,3.5,325.45000000000005,67.0,84.0,15.89,5.4,2.259130434782609,3.5503839684048852,0.0,1,1,0,1,1,1,5,0.5680647467311558,0.8229838658936564,0.0,0.0,12774.0,0.0
0,85.0,1,1,3.73,1.0,196.4,139.0,95.3,14.05,13.8,4.8546941176470595,1.4028571428571428,0.03842975206611571,1,0,1,0,1,1,3,-0.7485107481711011,-0.6631226582407952,3.73,0.0,8100.5,38.07375
0,93.0,1,0,0.0,3.0,190.7,114.0,51.0,10.91,8.1,2.374516129032258,1.6582608695652172,0.0,0,0,0,0,1,1,3,-0.9709418174260521,0.23931566428755738,0.0,0.0,4743.0,0.0
0,76.0,1,1,2.7,1.0,189.7,66.0,78.0,10.64,10.0,4.443947368421052,2.8313432835820893,0.03506493506493507,1,0,1,0,1,1,3,0.23931566428755768,-0.970941817426052,2.7,0.0,5928.0,28.728000000000005
